benchmark,run,result
ray-sphere-intersection,baseline,142
ray-sphere-intersection,myopt,170
quadratic,baseline,785
quadratic,myopt,1409
primes-between,baseline,574100
primes-between,myopt,957659
orders,baseline,5352
orders,myopt,9386
cholesky,baseline,3761
cholesky,myopt,7499
relative-primes,baseline,1923
relative-primes,myopt,incorrect
sieve,baseline,3482
sieve,myopt,5558
n_root,baseline,733
n_root,myopt,1243
newton,baseline,217
newton,myopt,319
check-primes,baseline,8468
check-primes,myopt,15966
sum-sq-diff,baseline,3038
sum-sq-diff,myopt,5667
bubblesort,baseline,253
bubblesort,myopt,364
mat-inv,baseline,1044
mat-inv,myopt,1563
loopfact,baseline,116
loopfact,myopt,216
recfact,baseline,104
recfact,myopt,141
riemann,baseline,298
riemann,myopt,502
adler32,baseline,6851
adler32,myopt,11996
factors,baseline,72
factors,myopt,129
perfect,baseline,232
perfect,myopt,431
digital-root,baseline,247
digital-root,myopt,367
adj2csr,baseline,56629
adj2csr,myopt,88196
up-arrow,baseline,252
up-arrow,myopt,493
sum-divisors,baseline,159
sum-divisors,myopt,279
ackermann,baseline,1464231
ackermann,myopt,1808699
pythagorean_triple,baseline,61518
pythagorean_triple,myopt,108149
euclid,baseline,563
euclid,myopt,920
binary-fmt,baseline,100
binary-fmt,myopt,153
max-subarray,baseline,193
max-subarray,myopt,332
mat-mul,baseline,timeout
mat-mul,myopt,timeout
gcd,baseline,46
gcd,myopt,78
catalan,baseline,659378
catalan,myopt,1062877
pow,baseline,36
pow,myopt,64
armstrong,baseline,133
armstrong,myopt,205
pascals-row,baseline,146
pascals-row,myopt,279
fib,baseline,121
fib,myopt,203
collatz,baseline,169
collatz,myopt,255
sum-bits,baseline,73
sum-bits,myopt,114
rectangles-area-difference,baseline,14
rectangles-area-difference,myopt,24
sqrt,baseline,322
sqrt,myopt,656
eight-queens,baseline,1006454
eight-queens,myopt,1866985
fizz-buzz,baseline,3652
fizz-buzz,myopt,10262
